File,Width,Height,Mode,Format,Size,Author,Device,Exposure,Object Detected
./images_from_G/Lenna.png,512,512,RGB,PNG,473831,,,,['person']
./images_from_G/syntetic_img.jpg,140,140,RGB,JPEG,7180,,,,[]
./images_from_G/wzor.jpg,225,238,RGB,JPEG,14786,,,,[]
./images_from_G/3.PNG,896,127,RGBA,PNG,4249,,,,[]
./images_from_G/4.PNG,696,435,RGBA,PNG,21920,,,,[]
./images_from_G/453.PNG,756,704,RGBA,PNG,40084,,,,[]
./images_from_G/Przechwytywanie.PNG,705,463,RGBA,PNG,16536,,,,[]
./images_from_G/Przechwytywanie1.PNG,856,452,RGBA,PNG,20494,,,,[]
./images_from_G/Przechwytywanie2.PNG,891,143,RGBA,PNG,5780,,,,[]
./images_from_G/Zrzut ekranu 2023-12-18 115427.png,1920,1080,RGBA,PNG,652068,,,,[]
./images_from_G/Zrzut ekranu 2023-12-18 133647.png,541,313,RGBA,PNG,53120,,,,['clock']
./images_from_G/Reconyx_HC500_Hyperfire.jpg,2048,1536,RGB,JPEG,425890,,,37/2040,[]
./images_from_G/grinder_cut.bmp,429,415,RGBA,BMP,712278,,,,[]
./images_from_G/grinder_good.bmp,429,415,RGBA,BMP,712278,,,,[]
./images_from_G/lab5a.jpg,800,534,L,JPEG,54649,,,,[]
./images_from_G/lena.gif,512,512,P,GIF,242648,,,,['person']
./images_from_G/Lenna.png,512,512,RGB,PNG,473831,,,,['person']
./images_from_G/syntetic_img.jpg,140,140,RGB,JPEG,7180,,,,[]
./images_from_G/wzor.jpg,225,238,RGB,JPEG,14786,,,,[]
./images_from_G/3.PNG,896,127,RGBA,PNG,4249,,,,[]
./images_from_G/4.PNG,696,435,RGBA,PNG,21920,,,,[]
./images_from_G/453.PNG,756,704,RGBA,PNG,40084,,,,[]
./images_from_G/Przechwytywanie.PNG,705,463,RGBA,PNG,16536,,,,[]
./images_from_G/Przechwytywanie1.PNG,856,452,RGBA,PNG,20494,,,,[]
./images_from_G/Przechwytywanie2.PNG,891,143,RGBA,PNG,5780,,,,[]
./images_from_G/Zrzut ekranu 2023-12-18 115427.png,1920,1080,RGBA,PNG,652068,,,,[]
./images_from_G/Zrzut ekranu 2023-12-18 133647.png,541,313,RGBA,PNG,53120,,,,['clock']
./images_from_G/Reconyx_HC500_Hyperfire.jpg,2048,1536,RGB,JPEG,425890,,,37/2040,[]
./images_from_G/HMD_Nokia_8.3_5G_hdr.jpg,4608,3456,RGB,JPEG,5168013,,Nokia 8.3 5G,8333/500000,[]
./images_from_G/Canon_40D_photoshop_import.jpg,100,77,RGB,JPEG,9686,,,,[]
./images_from_G/Kodak_CX7530.jpg,100,78,RGB,JPEG,5958,,KODAK CX7530 ZOOM DIGITAL CAMERA,1/250,[]
./images_from_G/Canon_PowerShot_S40.jpg,480,360,RGB,JPEG,32764,,Canon PowerShot S40,1/500,['vase']
./images_from_G/grinder_cut.bmp,429,415,RGBA,BMP,712278,,,,[]
./images_from_G/grinder_good.bmp,429,415,RGBA,BMP,712278,,,,[]
./images_from_G/lab5a.jpg,800,534,L,JPEG,54649,,,,[]
./images_from_G/lena.gif,512,512,P,GIF,242648,,,,['person']
./images_from_G/Lenna.png,512,512,RGB,PNG,473831,,,,['person']
./images_from_G/syntetic_img.jpg,140,140,RGB,JPEG,7180,,,,[]
./images_from_G/wzor.jpg,225,238,RGB,JPEG,14786,,,,[]
./images_from_G/3.PNG,896,127,RGBA,PNG,4249,,,,[]
./images_from_G/4.PNG,696,435,RGBA,PNG,21920,,,,[]
./images_from_G/453.PNG,756,704,RGBA,PNG,40084,,,,[]
./images_from_G/Przechwytywanie.PNG,705,463,RGBA,PNG,16536,,,,[]
./images_from_G/Przechwytywanie1.PNG,856,452,RGBA,PNG,20494,,,,[]
./images_from_G/Przechwytywanie2.PNG,891,143,RGBA,PNG,5780,,,,[]
./images_from_G/Zrzut ekranu 2023-12-18 115427.png,1920,1080,RGBA,PNG,652068,,,,[]
./images_from_G/Zrzut ekranu 2023-12-18 133647.png,541,313,RGBA,PNG,53120,,,,['clock']
./images_from_G/Reconyx_HC500_Hyperfire.jpg,2048,1536,RGB,JPEG,425890,,,37/2040,[]
./images_from_G/HMD_Nokia_8.3_5G_hdr.jpg,4608,3456,RGB,JPEG,5168013,,Nokia 8.3 5G,8333/500000,[]
./images_from_G/Canon_40D_photoshop_import.jpg,100,77,RGB,JPEG,9686,,,,[]
./images_from_G/Kodak_CX7530.jpg,100,78,RGB,JPEG,5958,,KODAK CX7530 ZOOM DIGITAL CAMERA,1/250,[]
./images_from_G/Canon_PowerShot_S40.jpg,480,360,RGB,JPEG,32764,,Canon PowerShot S40,1/500,['vase']
